"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","496","Should POST request with random name and return status 200","Create Goals","Mon May 26 21:34:59 GMT 2025","passed","Mon May 26 21:34:59 GMT 2025","","","",""
"","276","Should validate schema of goal","Get Goals","Mon May 26 21:35:23 GMT 2025","passed","Mon May 26 21:35:23 GMT 2025","","","",""
"","699","Should POST request with valid body from file and contain correct name","Create Goals","Mon May 26 21:35:00 GMT 2025","passed","Mon May 26 21:35:00 GMT 2025","","","",""
"","664","Should UPDATE request contain correct name and id","Update Goal","Mon May 26 21:35:29 GMT 2025","passed","Mon May 26 21:35:30 GMT 2025","","","",""
"","737","Should UPDATE request and return status 200","Update Goal","Mon May 26 21:35:28 GMT 2025","passed","Mon May 26 21:35:29 GMT 2025","","","",""
"","280","Should GET request contain correct name and id","Get Goals","Mon May 26 21:35:23 GMT 2025","passed","Mon May 26 21:35:23 GMT 2025","","","",""
"","2224","Should DELETE request with invalid id","Delete Goals","Mon May 26 21:35:09 GMT 2025","passed","Mon May 26 21:35:11 GMT 2025","","","",""
"","394","Should validate schema of goal","Update Goal","Mon May 26 21:35:30 GMT 2025","passed","Mon May 26 21:35:30 GMT 2025","","","",""
"","668","Should GET request and return status 200","Get Goal","Mon May 26 21:35:16 GMT 2025","passed","Mon May 26 21:35:17 GMT 2025","","","",""
"","886","Should DELETE request and not contains correct name","Delete Goals","Mon May 26 21:35:08 GMT 2025","passed","Mon May 26 21:35:09 GMT 2025","","","",""
"","203","Should POST request without authorization","Create Goals","Mon May 26 21:35:01 GMT 2025","passed","Mon May 26 21:35:01 GMT 2025","","","",""
"","381","Should validate schema of goal","Create Goals","Mon May 26 21:35:02 GMT 2025","passed","Mon May 26 21:35:03 GMT 2025","","","",""
"","634","Should GET request and return status 200","Get Goals","Mon May 26 21:35:22 GMT 2025","passed","Mon May 26 21:35:23 GMT 2025","","","",""
"","211","Should GET request without authorization and return status 400","Get Goals","Mon May 26 21:35:23 GMT 2025","passed","Mon May 26 21:35:23 GMT 2025","","","",""
"","1026","Should DELETE request and return status 200","Delete Goals","Mon May 26 21:35:07 GMT 2025","passed","Mon May 26 21:35:08 GMT 2025","","","",""
"","297","Should GET request goal contain correct name and id","Get Goal","Mon May 26 21:35:17 GMT 2025","passed","Mon May 26 21:35:17 GMT 2025","","","",""
"","624","Should DELETE request without authorization and return status 400","Delete Goals","Mon May 26 21:35:11 GMT 2025","passed","Mon May 26 21:35:12 GMT 2025","","","",""
"","72","Should UPDATE request without authorization and return status 400","Update Goal","Mon May 26 21:35:30 GMT 2025","passed","Mon May 26 21:35:30 GMT 2025","","","",""
"","71","Should GET request without authorization and return status 400","Get Goal","Mon May 26 21:35:17 GMT 2025","passed","Mon May 26 21:35:17 GMT 2025","","","",""
"","348","Should validate schema of goal","Get Goal","Mon May 26 21:35:17 GMT 2025","passed","Mon May 26 21:35:18 GMT 2025","","","",""
